Bad ones for codimension c = 6 up to max degree d = 30
{0,6,23,67,79,89}
{0,6,23,73,82,89}
{0,6,25,37,79,89}
{0,6,25,43,85,89}
{0,6,25,53,79,89}
{0,6,25,58,79,89}
{0,6,25,67,85,89}
{0,6,25,68,79,89}
{0,6,26,67,79,89}
{0,6,27,38,79,89}
{0,6,27,43,79,89}
{0,6,27,53,85,89}
{0,6,27,59,79,89}
{0,6,28,37,85,89}
{0,6,28,43,79,89}
{0,6,28,47,79,89}
{0,6,28,53,79,89}
{0,6,28,59,79,89}
{0,6,28,59,85,89}
{0,6,29,37,79,88}
{0,6,29,37,79,89}
{0,6,29,43,79,82}
{0,6,29,47,79,83}
{0,6,29,49,79,88}
{0,6,29,53,79,89}
{0,6,29,57,79,89}
{0,6,29,62,79,89}
{0,6,29,63,79,89}
{0,6,29,67,79,88}
{0,6,29,67,80,89}
{0,6,29,68,79,89}
{0,6,29,73,82,89}
{0,6,31,52,79,89}
{0,6,31,53,79,82}
{0,6,31,53,79,89}
{0,6,31,67,82,89}
{0,6,31,71,82,89}
{0,6,32,43,79,89}
{0,6,32,43,85,89}
{0,6,32,59,79,89}
{0,6,32,61,79,89}
{0,6,32,67,79,89}
{0,6,32,67,85,89}
{0,6,32,68,79,89}
{0,6,33,59,79,89}
{0,6,33,67,79,86}
{0,6,35,53,79,89}
{0,6,35,73,85,89}
{0,6,37,47,85,89}
{0,6,37,53,79,82}
{0,6,37,53,79,87}
{0,6,37,53,79,89}
{0,6,37,53,82,89}
{0,6,37,57,79,89}
{0,6,37,59,79,89}
{0,6,37,59,82,89}
{0,6,37,64,79,89}
{0,6,37,67,82,89}
{0,6,38,52,79,89}
{0,6,38,53,79,89}
{0,6,38,59,79,89}
{0,6,38,61,79,89}
{0,6,38,67,81,89}
{0,6,38,77,79,89}
{0,6,40,67,79,89}
{0,6,41,52,79,89}
{0,6,43,47,81,89}
{0,6,43,53,85,89}
{0,6,43,57,79,89}
{0,6,43,58,79,89}
{0,6,43,59,85,89}
{0,6,43,59,87,89}
{0,6,43,64,79,89}
{0,6,43,65,85,89}
{0,6,43,67,81,89}
{0,6,43,67,82,89}
{0,6,43,67,84,89}
{0,6,43,68,79,89}
{0,6,43,73,82,89}
{0,6,43,73,85,89}
{0,6,43,73,87,89}
{0,6,43,77,79,89}
{0,6,43,77,81,89}
{0,6,43,79,82,89}
{0,6,47,58,81,89}
{0,6,47,58,85,89}
{0,6,47,59,79,89}
{0,6,47,59,83,85}
{0,6,47,59,85,89}
{0,6,47,65,85,89}
{0,6,47,67,79,89}
{0,6,47,67,85,89}
{0,6,47,73,81,89}
{0,6,47,73,85,89}
{0,6,48,67,79,89}
{0,6,49,67,79,89}
{0,6,52,68,79,89}
{0,6,52,73,85,89}
{0,6,53,65,82,89}
{0,6,53,67,79,87}
{0,6,53,67,79,89}
{0,6,53,67,85,89}
{0,6,53,77,79,89}
{0,6,58,67,79,89}
{0,7,11,58,83,89}
{0,7,13,53,86,89}
{0,7,15,53,86,89}
{0,7,16,46,83,89}
{0,7,17,46,83,89}
{0,7,18,57,86,89}
{0,7,20,58,80,89}
{0,7,22,31,83,89}
{0,7,22,46,83,89}
{0,7,22,53,83,89}
{0,7,22,59,83,89}
{0,7,24,53,86,89}
{0,7,29,46,83,89}
{0,7,30,59,81,83}
{0,7,31,53,83,89}
{0,7,31,74,83,89}
{0,7,36,66,83,89}
{0,7,36,67,83,89}
{0,7,37,71,83,89}
{0,7,43,58,83,89}
{0,7,46,71,83,89}
{0,7,46,73,83,89}
{0,7,46,79,83,89}
{0,7,58,71,83,89}
{0,8,17,67,79,86}
{0,8,22,46,83,89}
{0,8,22,59,79,89}
{0,8,25,67,86,89}
{0,8,26,67,79,89}
{0,8,29,46,79,89}
{0,8,31,42,83,89}
{0,8,33,67,79,86}
{0,8,37,61,83,89}
{0,8,38,67,79,89}
{0,9,26,67,79,83}
{0,10,21,37,83,89}
{0,10,21,53,83,89}
